,Month,Monthly milk production: pounds per cow,Number of Cows,Total Milk Production,Price_Per_Pound,Total Revenue
127,17-Sep,855,59,,0.31,
128,17-Oct,809,59,,0.31,
129,17-Nov,810,59,,0.31,
130,17-Dec,766,59,,0.31,
131,18-Jan,805,59,,0.31,
132,18-Feb,821,59,,0.31,
133,18-Mar,773,59,,0.31,
134,18-Apr,755.5,59,,0.31,
135,18-May,898,59,,0.31,
136,18-Jun,957,59,,0.31,
137,18-Jul,924,59,,0.31,
138,18-Aug,881,59,,0.31,
139,18-Sep,837,57,,0.31,
140,18-Oct,784,57,,0.31,
141,18-Nov,791,57,,0.31,
142,18-Dec,760,57,,0.31,
143,19-Jan,802,57,,0.31,
144,19-Feb,828,57,,0.31,
145,19-Mar,778,57,,0.31,
146,19-Apr,889,57,,0.31,
147,19-May,902,57,,0.31,
148,19-Jun,755.5,57,,0.31,
149,19-Jul,755.5,57,,0.31,
150,19-Aug,755.5,57,,0.31,
151,19-Sep,867,57,,0.31,
152,19-Oct,815,62,,0.31,
153,19-Nov,812,62,,0.32,
154,19-Dec,773,62,,0.32,
155,20-Jan,813,62,,0.32,
156,20-Feb,834,62,,0.32,
157,20-Mar,782,62,,0.32,
158,20-Apr,892,62,,0.32,
159,20-May,903,62,,0.32,
160,20-Jun,966,62,,0.32,
161,20-Jul,937,62,,0.32,
162,20-Aug,896,62,,0.32,
163,20-Sep,858,62,,0.32,
164,20-Oct,755.5,62,,0.32,
165,20-Nov,755.5,62,,0.32,
166,20-Dec,797,62,,0.32,
167,21-Jan,843,62,,0.32,
